PC1,PC2,Churn
-599.7362206751673,-12.910439239634332,0
-1149.7485010247703,21.228067029047935,0
-1711.2216475077107,-6.800522473011245,0
-395.5719376413995,12.070540342115827,0
-2257.052355796374,4.173044391358175,0
2894.9828198495325,-12.764820292202703,0
-2282.014653451964,-17.99016768950793,0
77.77004833853334,-11.088366552231058,0
1507.0106741796153,-24.677830505841847,0
2545.915203744801,-7.840694491689369,0
-2013.6023807313566,15.28391848883252,0
-2068.989116397021,6.051110873958557,0
-2178.4941670003514,9.18128033580011,0
-301.0946188845621,4.650502674382274,0
1173.0853071202177,21.34154965078377,0
1541.3985121343753,-12.12021855808031,0
312.21508298581375,17.26977924365432,0
-1327.857574852653,-18.994368413496478,0
-1974.911596125744,-26.512560714882397,0
-2171.275526217194,-20.28962805888584,0
-81.08020467506867,21.581606536147483,0
-827.0198558731126,-43.609263810826405,0
5431.609975257786,-2.3632972441288302,0
-1340.1079766050466,-19.091217368432076,0
1054.4906565832912,10.733038813073186,0
-2281.308741574937,-17.365408681268125,1
-1888.788261636466,32.897779806909824,1
-2232.190982175764,26.261416218733117,1
-1025.4232065327417,49.25062138911295,0
-1847.7519532558908,47.21891751076677,1
3744.8189137355757,-12.30398499342881,0
-2072.9182825540984,31.740399847952986,1
-1645.7558706945774,-33.27459140469695,1
-1793.7342960622072,-30.016365053110597,0
-970.368935510432,-41.118667894187446,0
2573.7928327886566,24.682438854320495,1
-1703.4491526024913,21.884220370124893,0
-736.7928629255393,28.475094986162667,0
-1689.855899827322,1.5424574048238213,0
2224.7131387991403,16.295631172405947,0
1383.8979610303209,28.696377366706507,0
1390.0838735899983,19.349724905014853,0
-2282.619805767316,-18.535991613454517,0
-1263.3815442595364,44.93150736088296,1
-1742.3327399677503,-2.850913905623692,0
-875.7827659174611,25.07957491899562,1
-708.2927211523331,-16.800416323988163,0
-2179.7820342216173,-19.645533445375797,0
-1485.8095516164794,24.163631144135394,1
3870.159312629021,2.0183445740933763,0
-2245.9580577917504,14.020664778009959,0
1172.2692391866503,18.30346981165374,1
2696.4600899055067,19.04226265176557,0
-401.49314726733496,33.67136697553437,1
-501.24856511280495,8.891251191614224,0
-1723.1020131701507,-33.20664838391794,0
2276.748275093756,-23.02143809401857,0
3296.5607940293103,-4.1054710371120215,0
-2175.7410294296023,-20.560671996929845,1
-1511.5287672695338,-37.01392216463753,0
-1936.5554311124124,53.035345885110246,1
3766.348995510347,5.958230163414825,0
-288.38498996236945,41.528080171284344,1
-1155.7506579704464,47.223148237092005,1
885.5522890756752,28.740306993556857,1
137.41578965946292,17.976875275900184,0
-1022.4056116369209,-41.30276108487557,0
-1839.5109907585243,41.11545502889781,1
1673.5438597471612,-1.37430541056505,0
4087.5701548080688,-10.757193611531399,0
-802.9974711340014,-45.287826175702094,0
-1694.7740355263536,25.889157221552395,1
-1732.6222815974647,7.557247789650731,0
-1684.3521410476928,1.9275667665061462,0
1963.4192602610292,-23.22562013370669,0
-860.6170753716797,3.004643047559206,0
-2066.3867543155516,12.857563409645294,1
-1946.0151278979429,41.60846715222735,1
-284.9052708119516,-8.403585027610077,0
1476.958243219466,7.494287776127443,0
4837.637395580249,7.598223961547028,0
-1148.4572422630072,26.890630718849607,0
787.5020247749699,-28.320123619755467,0
3074.0439698209484,-13.582011333895306,0
-1018.5370510602722,1.6198779272805197,0
2208.3550235632847,-3.4337927706772255,0
-583.0977235933688,-50.14052270067884,0
-1721.1721888445772,32.479622300846316,0
3429.590914356073,-17.872450245418854,0
660.1529460645224,-28.734901865262344,0
2716.585425150779,-10.482063086035314,0
629.8725974536692,23.21870758904919,1
-2221.75207382692,35.52096911154116,1
-2086.870891878969,36.58959897199024,0
-2251.1957180322347,-18.62695518735163,0
3795.3592632675936,-14.465083593416828,0
-1515.0638617071904,-22.892845466953712,0
1500.6305402998214,23.296527534237228,0
-2282.2668845167263,-18.215213163791073,0
-2282.317278982868,-18.253685120034525,0
2666.892135358128,0.9464459779549443,0
2232.871182009897,25.10636605653236,1
-2276.366614059705,-12.97926037711446,0
-336.67231452941473,8.192089694546567,0
-2116.6300401045323,36.88887331286385,1
3160.3307084573853,-14.575317675175885,0
4071.9873933275585,-8.70930664144343,0
-1833.9440227449318,-23.016105406213768,0
1407.2011981619762,-27.46559167615555,0
-2172.116118708089,-11.39167138155737,0
-2091.1082747819314,-22.28963419258985,0
3184.4548762692566,13.727894375359924,1
-1831.45547079113,-29.622577775660755,0
3309.659054844966,18.767894942498387,1
-2149.5886188696413,30.668801072006474,0
-1034.3878656961065,-47.703405798099894,0
3133.872229498228,-8.786964793566941,0
-463.5970141716077,10.566229498532842,0
-1229.2548705538682,26.814316687187755,1
2008.3847002618504,-20.099587727530917,0
1651.4573168428274,-29.905167408595407,0
-735.5858931093594,16.06946955082936,1
1712.6703511776814,12.436402889852765,0
4284.128116606768,-9.06725157474974,0
